agent_id,in_degree,out_degree,engine_isolated,external_support_role,unused_configured_node
congestion_factor_r12_vs_city,2,1,False,,False
congestion_index,1,9,False,,False
congestion_index_r12,2,13,False,,False
congestion_multiplier_r12,0,1,False,,False
cost_climate_IRR_year,2,2,False,,False
cost_climate_IRR_year_r12,2,0,False,,False
cost_congestion_IRR_year,2,2,False,,False
cost_congestion_IRR_year_r12,2,1,False,,False
cost_energy_IRR_year,4,2,False,,False
cost_energy_IRR_year_r12,8,0,False,,False
cost_energy_PT_IRR_year,3,2,False,,False
cost_fuel_CNG_IRR_year,2,2,False,,False
cost_fuel_diesel_IRR_year,2,2,False,,False
cost_fuel_gasoline_IRR_year,2,1,False,,False
cost_health_IRR_year,2,4,False,,False
cost_health_IRR_year_r12,2,0,False,,False
cost_hospital_day_IRR_base,0,1,False,,False
cost_hospital_day_IRR_indexed,2,1,False,,False
cost_index_0,3,7,False,,False
cost_index_100,3,3,False,,False
cost_index_20,3,2,False,,False
cost_index_50,3,8,False,,False
cost_index_70,3,3,False,,False
cost_index_80,3,1,False,,False
cost_index_bus_fare,1,2,False,,False
cost_index_bus_fare_growth,2,1,False,,False
cost_index_metro_fare,1,2,False,,False
cost_index_metro_fare_growth,2,1,False,,False
cost_index_rhc_fare,1,2,False,,False
cost_index_rhc_fare_growth,3,1,False,,False
cost_noise_IRR_year,2,1,False,,False
cost_of_carbon_IRR_t,0,2,False,,False
cost_per_fatality_IRR,0,1,False,,False
cost_per_serious_injury_IRR,0,1,False,,False
cost_road_safety_IRR_year,4,2,False,,False
cost_transport_public_IRR_year,2,2,False,,False
cost_transport_public_IRR_year_r12_alloc,2,1,False,,False
days_per_year,0,2,False,,False
deaths_NO2,3,1,False,,False
deaths_PM25,3,1,False,,False
deaths_PM25_adult,4,0,False,,False
deaths_PM25_child,3,0,False,,False
deaths_total,2,2,False,,False
diesel_L_year_r12,3,3,False,,False
discount_rate_transport,0,4,False,,False
dly_r12,2,2,False,,False
dly_tot,2,2,False,,False
ecn_usd,1,1,False,,False
ecn_usd_base,0,1,False,,False
ecn_usd_obs,0,1,False,,False
economic_value_admissions_IRR,2,1,False,,False
economic_value_deaths_IRR,2,1,False,,False
electricity_bus_kWh_year,2,2,False,,False
electricity_car_kWh_year,2,1,False,,False
electricity_cost_PT_IRR_year,3,1,False,,False
electricity_cost_transport_IRR_year,2,1,False,,False
electricity_kWh_year_r12,15,5,False,,False
electricity_metro_kWh_year,2,2,False,,False
electricity_motorcycle_kWh_year,2,1,False,,False
electricity_price_transport_IRR_kWh,0,1,False,,False
electricity_price_transport_indexed_IRR_kWh,2,3,False,,False
electricity_roadEV_kWh_year,4,1,False,,False
electricity_taxi_kWh_year,2,1,False,,False
electricity_transport_kWh_year,2,6,False,,False
energy_CNG_MJ_year,2,1,False,,False
energy_bus_EV_kWh_km,0,2,False,,False
energy_car_EV_kWh_km,0,2,False,,False
energy_diesel_MJ_year,2,1,False,,False
energy_electricity_MJ_year,2,1,False,,False
energy_gasoline_MJ_year,2,1,False,,False
energy_metro_kWh_km,2,2,False,,False
energy_metro_kWh_per_train_km_source,0,1,False,,False
energy_motorcycle_EV_kWh_km,0,2,False,,False
energy_taxi_EV_kWh_km,0,2,False,,False
expansion_BRT_km_year,5,2,False,,False
expansion_bike_km_year,5,2,False,,False
expansion_metro_km_year,5,2,False,,False
expansion_road_km_year,5,2,False,,False
external_cost_IRR_year,6,2,False,,False
external_cost_IRR_year_r12,4,0,False,,False
external_cost_per_trip_IRR,2,0,False,,False
fare_bus_IRR_trip,1,0,False,,False
fare_bus_IRR_trip_indexed,4,4,False,,False
fare_bus_behavior_IRR_trip,0,10,False,,False
fare_bus_observed_IRR_trip,0,1,False,,False
fare_bus_projection_base_IRR_trip,0,1,False,,False
fare_metro_IRR_trip,1,0,False,,False
fare_metro_IRR_trip_indexed,4,4,False,,False
fare_metro_behavior_IRR_trip,0,11,False,,False
fare_metro_observed_IRR_trip,0,1,False,,False
fare_metro_projection_base_IRR_trip,0,1,False,,False
fare_revenue_PT_total_IRR_year,2,2,False,,False
fare_revenue_PT_total_IRR_year_r12_alloc,3,0,False,,False
fare_revenue_bus_IRR_year,2,2,False,,False
fare_revenue_metro_IRR_year,2,2,False,,False
fare_revenue_rhc_IRR_year,2,1,False,,False
fare_rhc_IRR_trip_base,0,1,False,,False
fare_rhc_IRR_trip_indexed,2,2,False,,False
farebox_recovery_PT,2,0,False,,False
farebox_recovery_PT_r12_alloc,2,0,False,,False
fc_bus_diesel_litre_km,0,2,False,,False
fc_car_CNG_kg_km,0,2,False,,False
fc_car_gasoline_litre_km,0,2,False,,False
fc_motorcycle_gasoline_litre_km,0,2,False,,False
fc_taxi_CNG_kg_km,0,2,False,,False
