scenario,check,status,detail
SC6,bounded01::modal_share_oth_r12,ok,min=0.054843717940288 max=0.064160049113083
SC6,bounded01::brt_share_of_bus,ok,min=0.4 max=0.55
SC6,plausible::occ_car,ok,min=1.0 threshold=1.0
SC6,plausible::occ_mot,ok,min=1.28 threshold=1.0
SC6,plausible::occ_tax,ok,min=4.07 threshold=1.0
SC6,plausible::occ_bus,ok,min=45.93 threshold=5.0
SC6,plausible::occ_met,ok,min=876.0 threshold=10.0
SC6,positive::spd_mot,ok,min=26.299171784160222
SC6,positive::spd_car,ok,min=22.781811548464315
SC6,positive::spd_tax,ok,min=21.06650975857901
SC6,positive::spd_bus,ok,min=17.967188901592607
SC6,positive::spd_met,ok,min=21.8812
SC6,positive::travel_time_motorcycle_hours,ok,min=0.3807084161123734
SC6,positive::travel_time_car_hours,ok,min=0.4148938035718598
SC6,positive::travel_time_taxi_hours,ok,min=0.4486757680279946
SC6,positive::travel_time_bus_hours,ok,min=0.4788419562433176
SC6,positive::travel_time_metro_hours,ok,min=0.4430689251147877
SC7,year_span,ok,min=2012.0 max=2030.0 rows=19
SC7,nonnegative::trips_per_year,ok,min=6370889222.319366
SC7,nonnegative::fuel_gasoline_litre_year,ok,min=3654620000.0
SC7,nonnegative::fuel_CNG_kg_year,ok,min=473041274.407002
SC7,nonnegative::concentration_PM25_ugm3,ok,min=27.341801373870204
SC7,nonnegative::concentration_NO2_ugm3,ok,min=45.571924614603326
SC7,nonnegative::private_cars_total,ok,min=3504556.0
SC7,nonnegative::taxis_total,ok,min=77949.0
SC7,nonnegative::buses_total,ok,min=2047.0
SC7,nonnegative::brts_total,ok,min=942.0
SC7,nonnegative::metro_cars_total,ok,min=805.0
SC7,city_modal_sum,ok,max_abs_dev=3.3306690738754696e-16
SC7,r12_modal_sum,ok,max_abs_dev=3.3306690738754696e-16
SC7,taxi_fuel_sum,ok,max_abs_dev=2.220446049250313e-16
SC7,bounded01::share_taxi_CNG,ok,min=0.5040000000000001 max=0.9
SC7,bounded01::share_taxi_EV,ok,min=0.0 max=0.44
SC7,bounded01::share_taxi_gasoline,ok,min=0.0559999999999999 max=0.0999999999999999
SC7,bounded01::modal_share_car,ok,min=0.3675330289154041 max=0.6223295177807698
SC7,bounded01::modal_share_taxi,ok,min=0.1766651975940266 max=0.229930822
SC7,bounded01::modal_share_bus,ok,min=0.035682879821833 max=0.2061320912326127
SC7,bounded01::modal_share_metro,ok,min=0.0619129095226186 max=0.1133328141240865
SC7,bounded01::modal_share_motorcycle,ok,min=0.04589568366527 max=0.0832053387487339
SC7,bounded01::modal_share_other,ok,min=0.0319507038770566 max=0.0474294529999999
SC7,bounded01::modal_share_car_r12,ok,min=0.1571107415094187 max=0.2517150518192176
