draw,scenario,geo,metric,mean_2024_2030,value_2030,base_mean,base_2030,delta_mean_pct,delta_2030_pct
0,SC10,Region 12,Modal share: public transport,0.416548434799586,0.4204896938834536,0.3724819199460958,0.3727505038296986,11.830511091616826,12.80727713665706
0,SC10,Region 12,NOₓ emissions,743.6656820663487,697.9809721189944,841.4182545004336,855.7299647393935,-11.617595875920529,-18.434435992718853
0,SC10,Region 12,PM₂.₅ emissions,23.0316310814441,20.388660518393,28.67736416341227,29.452153241716136,-19.68707113316649,-30.77361661450808
0,SC10,Region 12,Time loss (car),50642711.76661228,51259383.55171888,58460484.09753299,61434594.30406548,-13.37274648269739,-16.562672656362356
0,SC10,Region 12,PCE-weighted VKT,884442776.3010237,896892851.6083466,935270675.2532316,953301815.0236548,-5.434565660731947,-5.917219764645946
0,SC10,Tehran,CO₂ emissions,16147399.48016654,16340427.372123666,17096007.6721196,17722312.357730612,-5.548711781991432,-7.797430480363681
0,SC10,Tehran,Congestion index,0.3867700748630772,0.3880964173063562,0.408019484941264,0.4175039675023832,-5.207940027973358,-7.043657661973994
0,SC10,Tehran,Electricity use,1192261458.3309605,1465404792.5854492,884842811.6666203,1054349026.0625808,34.74274103954246,38.986688123375785
0,SC10,Tehran,Final energy,238958405620.6177,240497724326.05933,254843722466.1595,263570939890.9256,-6.233356149336258,-8.754081756666624
0,SC10,Tehran,Health indicator,1.1681063103065894e+16,1.20391107044811e+16,1.2155252172878236e+16,1.2795861070012928e+16,-3.9011043380111055,-5.914024553652515
0,SC10,Tehran,Modal share: car,0.5323115390982258,0.5235426705270992,0.5817412048880106,0.5811209900774272,-8.496847975432713,-9.90814658796895
0,SC10,Tehran,Modal share: public transport,0.155457602646075,0.1635276715532561,0.1031646492904233,0.103886516929721,50.6888296672628,57.40990879873487
0,SC10,Tehran,NOₓ emissions,60425.55854315142,59902.48020907113,65324.36988224275,67522.18533836934,-7.499209480201938,-11.284743067947366
0,SC10,Tehran,PM₂.₅ emissions,1045.820521326854,1016.5597104822788,1155.679954631423,1199.766584376915,-9.5060429891774,-15.270209745821738
0,SC10,Tehran,Time loss (car),824582521.165901,838759272.792674,951841374.0675474,1019167835.850917,-13.369754285614356,-17.70155579013318
0,SC10,Tehran,PCE-weighted VKT,69159877276.3912,70524033133.177,72969335680.97835,75867908912.25446,-5.220629143784562,-7.043657661973984
0,SC10,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032,63.87869652292867,142.92185698706032,0.0,0.0
0,SC10,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028,29.51624016041301,60.18207770689028,0.0,0.0
0,SC10,Tehran,STOCK::cost_index_bus_fare,60.26793001761512,106.36159228555996,84.36487247380374,169.56239313950334,-28.562767594618244,-37.272887981680256
0,SC10,Tehran,STOCK::cost_index_metro_fare,35.161126476087375,58.82076106461197,45.68752260248281,85.07059173023467,-23.03998012320194,-30.856527657481102
0,SC10,Tehran,STOCK::len_bik,941.660883050843,1278.6481875338736,941.660883050843,1278.6481875338736,0.0,0.0
0,SC10,Tehran,STOCK::len_brt,154.26881632653323,147.0150000000056,145.8321428571453,133.6500000000051,5.785194747945485,10.000000000000009
0,SC10,Tehran,STOCK::len_hwy,2678.5357142857,2865.749999999971,2678.5357142857,2865.749999999971,0.0,0.0
0,SC10,Tehran,STOCK::len_met,329.4582482993224,371.175,320.3214285714312,353.5,2.852391040037361,5.000000000000004
0,SC10,Tehran,STOCK::population_city,10229092.689482728,10601565.044835074,10225573.925676277,10593079.987233248,0.0344114064601845,0.0801000050226415
0,SC10,Tehran,STOCK::private_cars_total,4192415.099736402,4343924.107633086,4192415.099736402,4343924.107633086,0.0,0.0
0,SC10,Tehran,STOCK::taxis_total,78784.0,78784.0,78784.0,78784.0,0.0,0.0
0,SC10,Tehran,STOCK::metro_cars_total,1182.2600000000002,1184.36,1181.0,1181.0,0.1066892464013732,0.2845046570702709
0,SC10,Tehran,STOCK::brts_total,963.0217687074846,999.0376190476236,942.0,942.0,2.231610266187328,6.054948943484458
