draw,scenario,geo,metric,mean_2024_2030,value_2030,block_label,base_mean,base_2030,delta_mean_pct,delta_2030_pct
1,SC6,Region 12,Electricity use,71112379.49145854,72914940.35802755,sign_reversed_2019,72167126.57754266,74092515.38602754,-1.46153399214366,-1.589330611688297
1,SC6,Region 12,Final energy,2842847969.5299115,2867732211.97449,sign_reversed_2019,2868010378.932976,2900618652.6708174,-0.8773472225866128,-1.1337733302530546
1,SC6,Region 12,Health indicator,353493461208305.1,347719602259613.94,sign_reversed_2019,370362448804982.0,377843355112581.8,-4.554724068573001,-7.972550647077605
1,SC6,Region 12,Modal share: car,0.1820523481385022,0.1789402861090343,sign_reversed_2019,0.184494993399728,0.1817242862780302,-1.3239628979706424,-1.5319912522514922
1,SC6,Region 12,Modal share: public transport,0.426088727221774,0.427798609895213,sign_reversed_2019,0.4183832294693166,0.4188448057811935,1.8417319839112924,2.1377378901284585
1,SC6,Region 12,NOₓ emissions,751.966401135663,698.3636511289931,sign_reversed_2019,827.4235181165384,839.8395362849049,-9.11952770603357,-16.84558526283977
1,SC6,Region 12,PM₂.₅ emissions,21.740079892992696,18.211699599434663,sign_reversed_2019,27.48359099392473,28.1852383737304,-20.89796454255792,-35.38568183120783
1,SC6,Region 12,Time loss (car),46491408.26867508,47115570.943331465,sign_reversed_2019,50181698.87014218,52542706.31768455,-7.353857451133041,-10.328998551272663
1,SC6,Region 12,PCE-weighted VKT,899086522.0411083,913456921.3867304,sign_reversed_2019,906854326.64193,923473810.8371348,-0.8565658642866948,-1.084696645736389
1,SC6,Tehran,CO₂ emissions,14907097.95630554,15103858.0650022,sign_reversed_2019,15665697.81572652,16240057.050506642,-4.842426225402076,-6.996274594176975
1,SC6,Tehran,Congestion index,0.3617577275619997,0.3628975711136838,sign_reversed_2019,0.3770323163615883,0.3857434952814182,-4.051267792371327,-5.922568869519681
1,SC6,Tehran,Electricity use,1204220209.3867586,1367669263.9899726,sign_reversed_2019,1182955242.1630168,1351056074.0400765,1.797613845884742,1.2296447400748889
1,SC6,Tehran,Final energy,221029712724.5518,223376793765.81567,sign_reversed_2019,232409741325.56155,240375712306.20767,-4.896536838818871,-7.071812030134544
1,SC6,Tehran,Health indicator,1.1233872877823446e+16,1.1551425102096072e+16,sign_reversed_2019,1.1659816348439046e+16,1.2277016654798512e+16,-3.653089018615829,-5.910161834136147
1,SC6,Tehran,Modal share: car,0.4736770602376218,0.4637832782563515,sign_reversed_2019,0.5135831336588798,0.5121961394099438,-7.770129275266163,-9.45201602053551
1,SC6,Tehran,Modal share: public transport,0.1843572805663823,0.1930240675628213,sign_reversed_2019,0.15013834799003,0.1516049037254507,22.7916005700453,27.320464456993253
1,SC6,Tehran,NOₓ emissions,55468.42720200116,54727.64218969836,sign_reversed_2019,59608.039255991294,61622.4101806796,-6.944721057192051,-11.188734700193454
1,SC6,Tehran,PM₂.₅ emissions,965.8240863788508,922.416946644368,sign_reversed_2019,1080.8241813028667,1122.4332118372024,-10.640037196927848,-17.819881226202064
1,SC6,Tehran,Time loss (car),674885427.8908026,684149487.8096769,sign_reversed_2019,760835557.6647456,814037935.3659447,-11.296807688346238,-15.956068128185876
1,SC6,Tehran,PCE-weighted VKT,64687008435.00355,65944953851.42464,sign_reversed_2019,67427298392.317055,70096465282.90355,-4.064066072126281,-5.922568869519675
1,SC6,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032,sign_reversed_2019,63.87869652292867,142.92185698706032,0.0,0.0
1,SC6,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028,sign_reversed_2019,29.51624016041301,60.18207770689028,0.0,0.0
1,SC6,Tehran,STOCK::cost_index_bus_fare,84.36487247380374,169.56239313950334,sign_reversed_2019,84.36487247380374,169.56239313950334,0.0,0.0
1,SC6,Tehran,STOCK::cost_index_metro_fare,45.68752260248281,85.07059173023467,sign_reversed_2019,45.68752260248281,85.07059173023467,0.0,0.0
1,SC6,Tehran,STOCK::len_bik,941.660883050843,1278.6481875338736,sign_reversed_2019,941.660883050843,1278.6481875338736,0.0,0.0
1,SC6,Tehran,STOCK::len_brt,145.8321428571453,133.6500000000051,sign_reversed_2019,145.8321428571453,133.6500000000051,0.0,0.0
1,SC6,Tehran,STOCK::len_hwy,2678.5357142857,2865.749999999971,sign_reversed_2019,2678.5357142857,2865.749999999971,0.0,0.0
1,SC6,Tehran,STOCK::len_met,320.3214285714312,353.5,sign_reversed_2019,320.3214285714312,353.5,0.0,0.0
1,SC6,Tehran,STOCK::population_city,10247900.077577364,10624959.740383748,sign_reversed_2019,10244877.404216949,10617364.467096915,0.02950424139942,0.0715363338083585
1,SC6,Tehran,STOCK::private_cars_total,4192415.099736402,4343924.107633086,sign_reversed_2019,4192415.099736402,4343924.107633086,0.0,0.0
1,SC6,Tehran,STOCK::taxis_total,78784.0,78784.0,sign_reversed_2019,78784.0,78784.0,0.0,0.0
1,SC6,Tehran,STOCK::metro_cars_total,1181.0,1181.0,sign_reversed_2019,1181.0,1181.0,0.0,0.0
1,SC6,Tehran,STOCK::brts_total,942.0,942.0,sign_reversed_2019,942.0,942.0,0.0,0.0
1,SC6,Tehran,STOCK::buses_total,2047.0,2047.0,sign_reversed_2019,2047.0,2047.0,0.0,0.0
1,SC6,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354,sign_reversed_2019,325417.6086656498,337177.8227351354,0.0,0.0
1,SC6,Tehran,STOCK::transport_financial_balance_IRR,-5257373543840533.0,-1.0997217869941006e+16,sign_reversed_2019,-4702982273271233.0,-9474733173462972.0,-11.78807910291536,-16.068892586254993
1,SC8,Region 12,CO₂ emissions,204793.63300563587,204882.19648279005,sign_reversed_2019,210733.64383346256,213413.44455389923,-2.8187292355277287,-3.997521378722016
1,SC8,Region 12,Congestion index,1.0621080017619,1.040441575776912,sign_reversed_2019,1.1495041380599331,1.1760629654632626,-7.60294229523482,-11.531813658712393
1,SC8,Region 12,Electricity use,75253361.11495237,77349350.39170544,sign_reversed_2019,72167126.57754266,74092515.38602754,4.27651021146531,4.395632930950637
1,SC8,Region 12,Final energy,2761040033.516109,2753954446.909992,sign_reversed_2019,2868010378.932976,2900618652.6708174,-3.729775394211244,-5.056307750961348
1,SC8,Region 12,Health indicator,350311717346991.06,344006106326510.3,sign_reversed_2019,370362448804982.0,377843355112581.8,-5.413813285522596,-8.955364260935431
1,SC8,Region 12,Modal share: car,0.172186737611381,0.1657920167109492,sign_reversed_2019,0.184494993399728,0.1817242862780302,-6.671322382000819,-8.767275906482482
1,SC8,Region 12,Modal share: public transport,0.450958907917748,0.455489950014433,sign_reversed_2019,0.4183832294693166,0.4188448057811935,7.786086093783173,8.749098407676827
1,SC8,Region 12,NOₓ emissions,756.6518451759815,718.5857146992041,sign_reversed_2019,827.4235181165384,839.8395362849049,-8.553258566018792,-14.43773677553648
1,SC8,Region 12,PM₂.₅ emissions,23.27688503876553,21.2119676209964,sign_reversed_2019,27.48359099392473,28.1852383737304,-15.306245665237462,-24.740861369593127
1,SC8,Region 12,Time loss (car),41557856.480838455,39765176.19904663,sign_reversed_2019,50181698.87014218,52542706.31768455,-17.18523402649259,-24.3183707389989
1,SC8,Region 12,PCE-weighted VKT,849513852.8532927,840417113.1969484,sign_reversed_2019,906854326.64193,923473810.8371348,-6.323008238927229,-8.993941860126494
1,SC8,Tehran,CO₂ emissions,14399367.56809341,14230352.221454764,sign_reversed_2019,15665697.81572652,16240057.050506642,-8.083458921069344,-12.374986262681766
1,SC8,Tehran,Congestion index,0.3483667669142295,0.3412602742049611,sign_reversed_2019,0.3770323163615883,0.3857434952814182,-7.602942295234826,-11.531813658712382
1,SC8,Tehran,Electricity use,1272345759.6849911,1417456335.0637755,sign_reversed_2019,1182955242.1630168,1351056074.0400765,7.556542659934035,4.914693201825568
1,SC8,Tehran,Final energy,212980775152.5292,209884630847.49765,sign_reversed_2019,232409741325.56155,240375712306.20767,-8.35978993919025,-12.68475968980939
1,SC8,Tehran,Health indicator,1.111198511923155e+16,1.1353537204023926e+16,sign_reversed_2019,1.1659816348439046e+16,1.2277016654798512e+16,-4.6984550428260965,-7.522018392095616
1,SC8,Tehran,Modal share: car,0.4609170427318084,0.447227402771208,sign_reversed_2019,0.5135831336588798,0.5121961394099438,-10.25463794962784,-12.684347194334691
1,SC8,Tehran,Modal share: public transport,0.2020488535942994,0.2128095693988228,sign_reversed_2019,0.15013834799003,0.1516049037254507,34.5751144189468,40.371164895965926
1,SC8,Tehran,NOₓ emissions,54034.15887212269,52430.82690775704,sign_reversed_2019,59608.039255991294,61622.4101806796,-9.350886983433814,-14.915974961012465
1,SC8,Tehran,PM₂.₅ emissions,967.3225690477542,925.9663591111772,sign_reversed_2019,1080.8241813028667,1122.4332118372024,-10.501394604096784,-17.50365640058419
1,SC8,Tehran,Time loss (car),618019142.6826566,590664482.4226985,sign_reversed_2019,760835557.6647456,814037935.3659447,-18.770996379354223,-27.44017732328781
1,SC8,Tehran,PCE-weighted VKT,62284519679.44371,62013071525.1351,sign_reversed_2019,67427298392.317055,70096465282.90355,-7.627146327220095,-11.531813658712371
1,SC8,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032,sign_reversed_2019,63.87869652292867,142.92185698706032,0.0,0.0
1,SC8,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028,sign_reversed_2019,29.51624016041301,60.18207770689028,0.0,0.0
1,SC8,Tehran,STOCK::cost_index_bus_fare,60.26793001761512,106.36159228555996,sign_reversed_2019,84.36487247380374,169.56239313950334,-28.562767594618244,-37.272887981680256
1,SC8,Tehran,STOCK::cost_index_metro_fare,35.161126476087375,58.82076106461197,sign_reversed_2019,45.68752260248281,85.07059173023467,-23.03998012320194,-30.856527657481102
1,SC8,Tehran,STOCK::len_bik,941.660883050843,1278.6481875338736,sign_reversed_2019,941.660883050843,1278.6481875338736,0.0,0.0
1,SC8,Tehran,STOCK::len_brt,145.8321428571453,133.6500000000051,sign_reversed_2019,145.8321428571453,133.6500000000051,0.0,0.0
