draw,scenario,geo,metric,mean_2024_2030,value_2030,block_label
0,SC11,Tehran,STOCK::len_met,329.4582482993224,371.175,empirical_2019
0,SC11,Tehran,STOCK::population_city,10218576.648714798,10588884.542749558,empirical_2019
0,SC11,Tehran,STOCK::private_cars_total,4192415.099736402,4343924.107633086,empirical_2019
0,SC11,Tehran,STOCK::taxis_total,78784.0,78784.0,empirical_2019
0,SC11,Tehran,STOCK::metro_cars_total,1182.2600000000002,1184.36,empirical_2019
0,SC11,Tehran,STOCK::brts_total,963.0217687074846,999.0376190476236,empirical_2019
0,SC11,Tehran,STOCK::buses_total,2107.78877551022,2206.368571428616,empirical_2019
0,SC11,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354,empirical_2019
0,SC11,Tehran,STOCK::transport_financial_balance_IRR,-4117425982570495.0,-8465363296922906.0,empirical_2019
0,SC5,Region 12,CO₂ emissions,242868.40539363207,247070.72207114,empirical_2019
0,SC5,Region 12,Congestion index,1.2230377742343923,1.2330940637878351,empirical_2019
0,SC5,Region 12,Electricity use,74387304.02196065,76118884.35159475,empirical_2019
0,SC5,Region 12,Final energy,3352083989.4330983,3409149016.860557,empirical_2019
0,SC5,Region 12,Health indicator,392609223107779.7,398345401985931.75,empirical_2019
0,SC5,Region 12,Modal share: car,0.2327776090377869,0.2316068525592156,empirical_2019
0,SC5,Region 12,Modal share: public transport,0.3100199643712917,0.3078045368188673,empirical_2019
0,SC5,Region 12,NOₓ emissions,928.4404839386356,946.0885659781292,empirical_2019
0,SC5,Region 12,PM₂.₅ emissions,29.57398357807157,30.347619850239063,empirical_2019
0,SC5,Region 12,Time loss (car),69690587.25104609,72052999.26059173,empirical_2019
0,SC5,Region 12,PCE-weighted VKT,1060885845.7048564,1087769445.698759,empirical_2019
0,SC5,Tehran,CO₂ emissions,17236681.643904362,17594006.22745172,empirical_2019
0,SC5,Tehran,Congestion index,0.4011510265596557,0.4044494454333244,empirical_2019
0,SC5,Tehran,Electricity use,1465024875.3512251,1691191250.3520355,empirical_2019
0,SC5,Tehran,Final energy,253629074373.03345,258049622521.93143,empirical_2019
0,SC5,Tehran,Health indicator,1.2136745495172614e+16,1.268177972360954e+16,empirical_2019
0,SC5,Tehran,Modal share: car,0.5775235378631682,0.5701284468358053,empirical_2019
0,SC5,Tehran,Modal share: public transport,0.1405477007173584,0.1472375776631439,empirical_2019
0,SC5,Tehran,NOₓ emissions,65039.10555136971,66160.68751265758,empirical_2019
0,SC5,Tehran,PM₂.₅ emissions,1181.1903055654195,1212.5466055015356,empirical_2019
0,SC5,Tehran,Time loss (car),932367265.3458232,961374326.2540814,empirical_2019
0,SC5,Tehran,PCE-weighted VKT,71733797282.1676,73495669680.24594,empirical_2019
0,SC5,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032,empirical_2019
0,SC5,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028,empirical_2019
0,SC5,Tehran,STOCK::cost_index_bus_fare,84.36487247380374,169.56239313950334,empirical_2019
0,SC5,Tehran,STOCK::cost_index_metro_fare,45.68752260248281,85.07059173023467,empirical_2019
0,SC5,Tehran,STOCK::len_bik,941.660883050843,1278.6481875338736,empirical_2019
0,SC5,Tehran,STOCK::len_brt,154.26881632653323,147.0150000000056,empirical_2019
0,SC5,Tehran,STOCK::len_hwy,2678.5357142857,2865.749999999971,empirical_2019
0,SC5,Tehran,STOCK::len_met,329.4582482993224,371.175,empirical_2019
0,SC5,Tehran,STOCK::population_city,10216985.69884456,10584652.253934989,empirical_2019
0,SC5,Tehran,STOCK::private_cars_total,4192415.099736402,4343924.107633086,empirical_2019
0,SC5,Tehran,STOCK::taxis_total,78784.0,78784.0,empirical_2019
0,SC5,Tehran,STOCK::metro_cars_total,1182.2600000000002,1184.36,empirical_2019
0,SC5,Tehran,STOCK::brts_total,963.0217687074846,999.0376190476236,empirical_2019
0,SC5,Tehran,STOCK::buses_total,2107.78877551022,2206.368571428616,empirical_2019
0,SC5,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354,empirical_2019
0,SC5,Tehran,STOCK::transport_financial_balance_IRR,-4024048762553400.0,-8177794777662582.0,empirical_2019
0,SC6,Region 12,CO₂ emissions,243805.6605724312,248520.833259948,empirical_2019
0,SC6,Region 12,Congestion index,1.2400589590487598,1.255166700054385,empirical_2019
0,SC6,Region 12,Electricity use,69001159.97002658,70526102.51403278,empirical_2019
0,SC6,Region 12,Final energy,3392774188.5176263,3458504480.41282,empirical_2019
0,SC6,Region 12,Health indicator,385809801759455.1,383231841584160.8,empirical_2019
0,SC6,Region 12,Modal share: car,0.2360261225774364,0.2348567053113351,empirical_2019
0,SC6,Region 12,Modal share: public transport,0.2947434013999649,0.2909492346110545,empirical_2019
0,SC6,Region 12,NOₓ emissions,868.3849249612546,821.1680024144473,empirical_2019
0,SC6,Region 12,PM₂.₅ emissions,23.94228135476644,20.23659165194446,empirical_2019
0,SC6,Region 12,Time loss (car),72198565.22357741,75107007.29286468,empirical_2019
0,SC6,Region 12,PCE-weighted VKT,1075925419.706493,1103990202.2716491,empirical_2019
0,SC6,Tehran,CO₂ emissions,17344890.686552603,17755578.015968405,empirical_2019
0,SC6,Tehran,Congestion index,0.406733900535743,0.4116891733335907,empirical_2019
0,SC6,Tehran,Electricity use,1275770605.3543696,1471880889.0612578,empirical_2019
0,SC6,Tehran,Final energy,256187260863.5037,261559927417.43463,empirical_2019
0,SC6,Tehran,Health indicator,1.2031444223244858e+16,1.2452382235506764e+16,empirical_2019
0,SC6,Tehran,Modal share: car,0.5858542760549464,0.5795374717717301,empirical_2019
0,SC6,Tehran,Modal share: public transport,0.1264580262666194,0.1310965278531032,empirical_2019
0,SC6,Tehran,NOₓ emissions,64426.372141298125,64598.6572043293,empirical_2019
0,SC6,Tehran,PM₂.₅ emissions,1098.224847749167,1065.024687761755,empirical_2019
0,SC6,Tehran,Time loss (car),960776960.3727248,999579581.943986,empirical_2019
0,SC6,Tehran,PCE-weighted VKT,72733838761.27913,74811257218.6656,empirical_2019
0,SC6,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032,empirical_2019
0,SC6,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028,empirical_2019
0,SC6,Tehran,STOCK::cost_index_bus_fare,84.36487247380374,169.56239313950334,empirical_2019
0,SC6,Tehran,STOCK::cost_index_metro_fare,45.68752260248281,85.07059173023467,empirical_2019
0,SC6,Tehran,STOCK::len_bik,941.660883050843,1278.6481875338736,empirical_2019
0,SC6,Tehran,STOCK::len_brt,145.8321428571453,133.6500000000051,empirical_2019
0,SC6,Tehran,STOCK::len_hwy,2678.5357142857,2865.749999999971,empirical_2019
0,SC6,Tehran,STOCK::len_met,320.3214285714312,353.5,empirical_2019
0,SC6,Tehran,STOCK::population_city,10217679.571723994,10586518.0908334,empirical_2019
0,SC6,Tehran,STOCK::private_cars_total,4192415.099736402,4343924.107633086,empirical_2019
0,SC6,Tehran,STOCK::taxis_total,78784.0,78784.0,empirical_2019
0,SC6,Tehran,STOCK::metro_cars_total,1181.0,1181.0,empirical_2019
