scenario,geo,metric,effect,n,median,p05,p25,p75,p95,min,max,sign_fraction,all_same_direction,span90
SC10,Tehran,NOₓ emissions,delta_mean_pct,32,-7.850509915685768,-8.883750156372884,-8.369868121305888,-7.487128298689061,-6.766447204744147,-9.47220443344462,-6.594383882261065,1.0,True,2.1173029516287363
SC10,Tehran,NOₓ emissions,delta_2030_pct,32,-11.68895612981289,-13.751744426209488,-12.532930127973144,-11.187736642795802,-9.880294584548658,-14.279660731238971,-9.813289857213842,1.0,True,3.87144984166083
SC10,Tehran,PM₂.₅ emissions,delta_mean_pct,32,-9.492481169454043,-10.520964182661352,-9.869969311963471,-8.971755380244245,-8.42835949608329,-11.371369761762905,-8.074335397855373,1.0,True,2.0926046865780616
SC10,Tehran,PM₂.₅ emissions,delta_2030_pct,32,-15.249682982290157,-17.21957832816485,-15.849154374849178,-14.442407038531364,-13.365338300560673,-18.275290514996456,-12.931097180878137,1.0,True,3.8542400276041793
SC10,Tehran,STOCK::brts_total,delta_mean_pct,32,2.231610266187328,2.231610266187328,2.231610266187328,2.231610266187328,2.231610266187328,2.231610266187328,2.231610266187328,1.0,True,0.0
SC10,Tehran,STOCK::brts_total,delta_2030_pct,32,6.054948943484458,6.054948943484458,6.054948943484458,6.054948943484458,6.054948943484458,6.054948943484458,6.054948943484458,1.0,True,0.0
SC10,Tehran,STOCK::buses_total,delta_mean_pct,32,2.969651954578415,2.969651954578415,2.969651954578415,2.969651954578415,2.969651954578415,2.969651954578415,2.969651954578415,1.0,True,0.0
SC10,Tehran,STOCK::buses_total,delta_2030_pct,32,7.785470025823924,7.785470025823924,7.785470025823924,7.785470025823924,7.785470025823924,7.785470025823924,7.785470025823924,1.0,True,0.0
SC10,Tehran,STOCK::cost_index_bus_fare,delta_mean_pct,32,-28.562767594618244,-28.562767594618244,-28.562767594618244,-28.562767594618244,-28.562767594618244,-28.562767594618244,-28.562767594618244,1.0,True,0.0
SC10,Tehran,STOCK::cost_index_bus_fare,delta_2030_pct,32,-37.272887981680256,-37.272887981680256,-37.272887981680256,-37.272887981680256,-37.272887981680256,-37.272887981680256,-37.272887981680256,1.0,True,0.0
SC10,Tehran,STOCK::cost_index_metro_fare,delta_mean_pct,32,-23.03998012320194,-23.03998012320194,-23.03998012320194,-23.03998012320194,-23.03998012320194,-23.03998012320194,-23.03998012320194,1.0,True,0.0
SC10,Tehran,STOCK::cost_index_metro_fare,delta_2030_pct,32,-30.856527657481102,-30.856527657481102,-30.856527657481102,-30.856527657481102,-30.856527657481102,-30.856527657481102,-30.856527657481102,1.0,True,0.0
SC10,Tehran,STOCK::cost_index_rhc_fare,delta_mean_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC10,Tehran,STOCK::cost_index_rhc_fare,delta_2030_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC10,Tehran,STOCK::inflation_index_effective,delta_mean_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC10,Tehran,STOCK::inflation_index_effective,delta_2030_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC10,Tehran,STOCK::len_bik,delta_mean_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC10,Tehran,STOCK::len_bik,delta_2030_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC10,Tehran,STOCK::len_brt,delta_mean_pct,32,5.785194747945485,5.785194747945485,5.785194747945485,5.785194747945485,5.785194747945485,5.785194747945485,5.785194747945485,1.0,True,0.0
SC10,Tehran,STOCK::len_brt,delta_2030_pct,32,10.000000000000009,10.000000000000009,10.000000000000009,10.000000000000009,10.000000000000009,10.000000000000009,10.000000000000009,1.0,True,0.0
SC10,Tehran,STOCK::len_hwy,delta_mean_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC10,Tehran,STOCK::len_hwy,delta_2030_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC10,Tehran,STOCK::len_met,delta_mean_pct,32,2.852391040037361,2.852391040037361,2.852391040037361,2.852391040037361,2.852391040037361,2.852391040037361,2.852391040037361,1.0,True,0.0
SC10,Tehran,STOCK::len_met,delta_2030_pct,32,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,5.000000000000004,1.0,True,0.0
SC10,Tehran,STOCK::metro_cars_total,delta_mean_pct,32,0.1066892464013732,0.1066892464013732,0.1066892464013732,0.1066892464013732,0.1066892464013732,0.1066892464013732,0.1066892464013732,1.0,True,0.0
SC10,Tehran,STOCK::metro_cars_total,delta_2030_pct,32,0.2845046570702709,0.2845046570702709,0.2845046570702709,0.2845046570702709,0.2845046570702709,0.2845046570702709,0.2845046570702709,1.0,True,0.0
SC10,Tehran,STOCK::motorcycles_total,delta_mean_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC10,Tehran,STOCK::motorcycles_total,delta_2030_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC10,Tehran,STOCK::population_city,delta_mean_pct,32,0.0352529863663811,0.0321311463132338,0.0340911113271543,0.037037884001195,0.0386444721564978,0.0308360207491725,0.0404476557654876,1.0,True,0.0065133258432639
SC10,Tehran,STOCK::population_city,delta_2030_pct,32,0.0820026519771694,0.0734811278574428,0.0793495801942935,0.0866055622558439,0.0902813922067784,0.0714170240639453,0.0940724325559883,1.0,True,0.0168002643493355
SC10,Tehran,STOCK::private_cars_total,delta_mean_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC10,Tehran,STOCK::private_cars_total,delta_2030_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC10,Tehran,STOCK::taxis_total,delta_mean_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC10,Tehran,STOCK::taxis_total,delta_2030_pct,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC10,Tehran,STOCK::transport_financial_balance_IRR,delta_mean_pct,32,-15.937985242132784,-20.2539833378512,-18.576117837926613,-13.68301420650873,-11.84585214949508,-22.25261693420101,-10.37895432981717,1.0,True,8.408131188356116
SC10,Tehran,STOCK::transport_financial_balance_IRR,delta_2030_pct,32,-22.47567854933248,-28.60079522833555,-25.89636526672533,-19.243758762958265,-16.623788554838377,-31.20416126353231,-14.524850468705877,1.0,True,11.977006673497172
SC10,Tehran,Time loss (car),delta_mean_pct,32,-14.530662521603954,-16.703052271203187,-15.73038570608491,-13.36338564716364,-12.329504870616375,-17.65577859608218,-11.596358691694029,1.0,True,4.373547400586812
SC10,Tehran,Time loss (car),delta_2030_pct,32,-19.22183607410913,-22.55821065067412,-20.97578857852964,-17.65392855238317,-15.951478819213524,-23.43932851656143,-15.289204162571552,1.0,True,6.6067318314605945
SC10,Tehran,PCE-weighted VKT,delta_mean_pct,32,-5.879901323511371,-6.854468157676871,-6.412103583317113,-5.236614371241975,-4.913398564904544,-7.319698669095272,-4.425321590397522,1.0,True,1.941069592772327
SC10,Tehran,PCE-weighted VKT,delta_2030_pct,32,-7.860278236186142,-9.20872197310748,-8.622252298568641,-7.048926920461208,-6.466776595924337,-9.80409410444585,-5.951399718188301,1.0,True,2.741945377183143
SC11,Region 12,CO₂ emissions,delta_mean_pct,32,-2.435658701242322,-2.8908615216370244,-2.592087797760517,-2.381701250223522,-2.2754207449616994,-3.102378603125931,-2.0620802176674875,1.0,True,0.6154407766753249
SC11,Region 12,CO₂ emissions,delta_2030_pct,32,-4.736051434087957,-5.520060510729228,-4.997030668364749,-4.668331101834823,-4.495065720102553,-5.849382089685058,-4.200814567332127,1.0,True,1.0249947906266748
SC11,Region 12,Congestion index,delta_mean_pct,32,-6.486875401003305,-7.46469940001137,-7.035511389137107,-6.013600186343018,-5.603209096630251,-7.811219717243991,-5.268728156811956,1.0,True,1.8614903033811192
SC11,Region 12,Congestion index,delta_2030_pct,32,-10.321254170187569,-11.74793504618174,-11.107251940092013,-9.656441031784729,-8.978575373668702,-12.28722694775752,-8.538045231514584,1.0,True,2.769359672513037
SC11,Region 12,Electricity use,delta_mean_pct,32,11.033187128290429,9.907786275547483,10.325930087060076,11.841322937087494,13.426000912369696,9.53463539273536,13.569095112245217,1.0,True,3.518214636822212
SC11,Region 12,Electricity use,delta_2030_pct,32,15.312179548347627,13.612649674127514,14.319257217143749,16.8142422717826,19.87653835615608,13.00045358885074,20.218963078279188,1.0,True,6.263888682028568
SC11,Region 12,Final energy,delta_mean_pct,32,-4.108575002827353,-4.384975436219287,-4.265932743578716,-4.017622646075921,-3.6262780833639456,-4.49209508145046,-3.5141186835095093,1.0,True,0.7586973528553416
SC11,Region 12,Final energy,delta_2030_pct,32,-7.2640284427440065,-7.82215133889048,-7.5458162510905185,-7.121839779948802,-6.678031424739014,-7.951957743095488,-6.5539269012017325,1.0,True,1.1441199141514664
SC11,Region 12,Health indicator,delta_mean_pct,32,-5.146707812451977,-5.553445593375929,-5.317884446042449,-4.9575951722049245,-4.624390302832548,-5.740759741655683,-4.342320157214723,1.0,True,0.9290552905433812
SC11,Region 12,Health indicator,delta_2030_pct,32,-8.967377857165804,-9.73169835073342,-9.210000211654078,-8.66563807736905,-8.04807325644827,-9.94980942158369,-7.6355798652739875,1.0,True,1.6836250942851514
SC11,Region 12,Modal share: car,delta_mean_pct,32,-5.860322632660376,-6.35994264400064,-6.050438010907733,-5.658507330888016,-5.24960891485705,-6.605909187527589,-5.165293662399023,1.0,True,1.1103337291435895
SC11,Region 12,Modal share: car,delta_2030_pct,32,-10.25289901510123,-10.864332672620709,-10.47274577994766,-9.986179929904608,-9.46302129322726,-11.212305869865558,-9.342699907798767,1.0,True,1.401311379393448
SC11,Region 12,Modal share: public transport,delta_mean_pct,32,8.187196245165133,7.512453072451078,7.910500665190571,8.496274210299568,9.44349577236061,7.452112317870957,9.738402020791057,1.0,True,1.931042699909532
SC11,Region 12,Modal share: public transport,delta_2030_pct,32,11.161132928489105,10.175917928980192,10.64755869005823,11.582945022677274,13.468027982291911,10.067247677748808,14.216063032056184,1.0,True,3.2921100533117187
SC11,Region 12,NOₓ emissions,delta_mean_pct,32,-9.090105727078072,-9.694516377080095,-9.30344900520808,-8.653943805001283,-7.670277443502962,-10.089355791328437,-7.492207167077313,1.0,True,2.0242389335771334
SC11,Region 12,NOₓ emissions,delta_2030_pct,32,-16.052931393696202,-17.13916723193465,-16.44892212092401,-15.39004195642788,-13.873961542633207,-17.575869439487242,-13.63307340151159,1.0,True,3.2652056893014425
SC11,Region 12,PM₂.₅ emissions,delta_mean_pct,32,-15.01341708376423,-15.976264845198624,-15.349896845463636,-14.107246295681808,-13.34424518198406,-16.396068324139424,-13.301557972883456,1.0,True,2.632019663214564
SC11,Region 12,PM₂.₅ emissions,delta_2030_pct,32,-24.17589575598644,-25.70655189394394,-24.72715963636497,-22.87700476779641,-21.820604152707567,-26.2955427914968,-21.577481329310917,1.0,True,3.885947741236372
SC11,Region 12,Time loss (car),delta_mean_pct,32,-15.156723880461843,-16.402644637463546,-15.759110368091626,-14.517899498952644,-13.70311499528398,-16.630670414418617,-13.218303190776147,1.0,True,2.6995296421795665
SC11,Region 12,Time loss (car),delta_2030_pct,32,-24.350790062237092,-26.031287121267997,-24.966382318837688,-23.345257947379217,-22.108573926784043,-26.32331932472149,-21.66407559955274,1.0,True,3.922713194483951
SC11,Region 12,PCE-weighted VKT,delta_mean_pct,32,-4.424127062001616,-4.839358083369238,-4.615999763173004,-4.285703931719353,-3.9466199135887,-4.858315979727637,-3.8549875946430734,1.0,True,0.8927381697805372
SC11,Region 12,PCE-weighted VKT,delta_2030_pct,32,-7.25128954257401,-7.937663495258389,-7.590260507671852,-7.0522304933699616,-6.771722847408432,-7.991649815705525,-6.491126368984547,1.0,True,1.1659406478499568
SC11,Tehran,CO₂ emissions,delta_mean_pct,32,-6.667661542421794,-7.769953446911288,-7.128627685172663,-6.415384785410403,-5.869747476736839,-8.05729968129022,-5.625050766313435,1.0,True,1.900205970174449
SC11,Tehran,CO₂ emissions,delta_2030_pct,32,-10.85807103192981,-12.878681330439248,-11.737302360104504,-10.590270717625687,-9.60261411157169,-13.017978508823722,-9.260913313571397,1.0,True,3.276067218867558
SC11,Tehran,Congestion index,delta_mean_pct,32,-6.486875401003307,-7.464699400011391,-7.035511389137107,-6.013600186342986,-5.603209096630246,-7.81121971724401,-5.26872815681196,1.0,True,1.861490303381145
