scenario,geo,metric,effect,n,median,p05,p25,p75,p95,min,max,sign_fraction,all_same_direction,span90
SC5,Tehran,Electricity use,delta_2030_pct,8,17.80258344716162,16.449890735805315,17.05452757432361,18.52752476333356,18.880570662618567,16.21782968423433,19.01906731155888,1.0,True,2.4306799268132515
SC5,Tehran,Final energy,delta_mean_pct,8,-4.878562632958085,-5.794964715863795,-5.306405663135822,-4.187629565640744,-3.841123752929557,-5.909471094535459,-3.7710345074795,1.0,True,1.9538409629342384
SC5,Tehran,Final energy,delta_2030_pct,8,-7.030088008595214,-8.336249726439243,-7.695846101391876,-5.884612014726893,-5.363696168092648,-8.521877696275308,-5.266795508664506,1.0,True,2.972553558346595
SC5,Tehran,Health indicator,delta_mean_pct,8,-2.206305093368668,-2.497440844091532,-2.3649819117106405,-1.9187793768136825,-1.8087185123279848,-2.5375008934021954,-1.7799488871842908,1.0,True,0.6887223317635467
SC5,Tehran,Health indicator,delta_2030_pct,8,-3.1729893531458364,-3.608045277187901,-3.44334304933955,-2.6960799288232677,-2.51476891031264,-3.675370584270458,-2.475160584307258,1.0,True,1.0932763668752603
SC5,Tehran,Modal share: car,delta_mean_pct,8,-7.463322629135238,-8.966749499877228,-8.327540878799981,-6.235143336009381,-5.798871595550605,-9.110151543732073,-5.718948762380736,1.0,True,3.1678779043266223
SC5,Tehran,Modal share: car,delta_2030_pct,8,-9.132070817216777,-10.871354033718235,-10.0296943921506,-7.419242618579414,-6.869329742814439,-11.066916865147158,-6.773921301739979,1.0,True,4.002024290903798
SC5,Tehran,Modal share: public transport,delta_mean_pct,8,30.719223673917444,28.224887779663305,30.42946855262228,32.00224829741869,36.52586088582681,27.12622764607849,37.25416253743888,1.0,True,8.300973106163504
SC5,Tehran,Modal share: public transport,delta_2030_pct,8,36.39511047364135,33.05253384214954,35.81207001415948,39.03377756418512,42.93222061149088,31.90250300587994,43.82297767660432,1.0,True,9.87968676934134
SC5,Tehran,NOₓ emissions,delta_mean_pct,8,-4.646334465183315,-5.349412125322437,-5.0889922766852775,-3.976940779701705,-3.7681266001500218,-5.433612944507851,-3.710595983288,1.0,True,1.5812855251724152
