draw,scenario,geo,metric,mean_2024_2030,value_2030
27,SC9,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354
27,SC9,Tehran,STOCK::transport_financial_balance_IRR,-4461961161074749.5,-9245646322844440.0
28,SC1,Region 12,CO₂ emissions,267998.6942935373,271853.20104277454
28,SC1,Region 12,Congestion index,1.2252595603573198,1.229330921459939
28,SC1,Region 12,Electricity use,55821993.08500067,57376218.38428631
28,SC1,Region 12,Final energy,3809131685.466244,3861824959.978664
28,SC1,Region 12,Health indicator,405147411859039.0,410374868121607.9
28,SC1,Region 12,Modal share: car,0.2894440109435856,0.2861774767498184
28,SC1,Region 12,Modal share: public transport,0.2688081150776789,0.2666085289573327
28,SC1,Region 12,NOₓ emissions,1056.0851868994214,1073.7008503115503
28,SC1,Region 12,PM₂.₅ emissions,31.015293221693003,31.89579231271336
28,SC1,Region 12,Time loss (car),86881524.29493268,88608672.49026921
28,SC1,Region 12,PCE-weighted VKT,1160493545.4981964,1164854489.134975
28,SC1,Tehran,CO₂ emissions,17291593.814068403,17574822.535103824
28,SC1,Tehran,Congestion index,0.4018797626647741,0.4032151512522877
28,SC1,Tehran,Electricity use,1419846107.1407073,1605076613.6762304
28,SC1,Tehran,Final energy,254714546952.85867,258178755194.76443
28,SC1,Tehran,Health indicator,1.2123399747660364e+16,1.2637851789607644e+16
28,SC1,Tehran,Modal share: car,0.6002767674716779,0.5963439566964254
28,SC1,Tehran,Modal share: public transport,0.1188584754869154,0.1215540601299247
28,SC1,Tehran,NOₓ emissions,65006.59061759405,65848.29159815352
28,SC1,Tehran,PM₂.₅ emissions,1159.341781069122,1181.4862375232435
28,SC1,Tehran,Time loss (car),943686565.5073428,965298138.2973076
28,SC1,Tehran,PCE-weighted VKT,71863861914.33432,73271376438.05708
28,SC1,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032
28,SC1,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028
28,SC1,Tehran,STOCK::cost_index_bus_fare,84.36487247380374,169.56239313950334
28,SC1,Tehran,STOCK::cost_index_metro_fare,45.68752260248281,85.07059173023467
28,SC1,Tehran,STOCK::len_bik,941.660883050843,1278.6481875338736
28,SC1,Tehran,STOCK::len_brt,145.8321428571453,133.6500000000051
28,SC1,Tehran,STOCK::len_hwy,2678.5357142857,2865.749999999971
28,SC1,Tehran,STOCK::len_met,320.3214285714312,353.5
28,SC1,Tehran,STOCK::population_city,10219650.638443608,10587460.025040362
28,SC1,Tehran,STOCK::private_cars_total,4192415.099736402,4343924.107633086
28,SC1,Tehran,STOCK::taxis_total,78784.0,78784.0
28,SC1,Tehran,STOCK::metro_cars_total,1181.0,1181.0
28,SC1,Tehran,STOCK::brts_total,942.0,942.0
28,SC1,Tehran,STOCK::buses_total,2047.0,2047.0
28,SC1,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354
28,SC1,Tehran,STOCK::transport_financial_balance_IRR,-3633828695887887.0,-7169606044041836.0
28,SC2,Region 12,CO₂ emissions,266682.0304261116,267918.7082330199
28,SC2,Region 12,Congestion index,1.2462753265850013,1.267329734988886
28,SC2,Region 12,Electricity use,56368855.11857534,58873392.841150366
28,SC2,Region 12,Final energy,3786089277.779635,3794138664.900367
