Scenario,year,Geo,delta_display,annot,annot_mode,kpi
SC0,2030,Region 12,0.0,0.0,raw,Implementation CAPEX
SC1,2024,Region 12,0.0,0.0,raw,Implementation CAPEX
SC1,2025,Region 12,0.0,0.0,raw,Implementation CAPEX
SC1,2026,Region 12,0.0,0.0,raw,Implementation CAPEX
SC1,2027,Region 12,0.0,0.0,raw,Implementation CAPEX
SC1,2028,Region 12,0.0,0.0,raw,Implementation CAPEX
SC1,2029,Region 12,0.0,0.0,raw,Implementation CAPEX
SC1,2030,Region 12,0.0,0.0,raw,Implementation CAPEX
SC10,2024,Region 12,14.212679778512447,500212903219.7185,raw,Implementation CAPEX
SC10,2025,Region 12,13.879205989611082,488476348629.4842,raw,Implementation CAPEX
SC10,2026,Region 12,26.36484576553133,927906365923.685,raw,Implementation CAPEX
SC10,2027,Region 12,35.73436034893849,1257664874844.099,raw,Implementation CAPEX
SC10,2028,Region 12,57.59022756881643,2026878490067.341,raw,Implementation CAPEX
SC10,2029,Region 12,73.21621091061435,2576832377361.76,raw,Implementation CAPEX
SC10,2030,Region 12,94.09068173495737,3311505909513.4,raw,Implementation CAPEX
SC11,2024,Region 12,14.523522928738467,511152976242.0909,raw,Implementation CAPEX
SC11,2025,Region 12,13.978035171241688,491954625255.4737,raw,Implementation CAPEX
SC11,2026,Region 12,27.663420753671662,973609496859.5016,raw,Implementation CAPEX
SC11,2027,Region 12,36.91069965911911,1299065941404.857,raw,Implementation CAPEX
SC11,2028,Region 12,60.44393856771424,2127314374499.694,raw,Implementation CAPEX
SC11,2029,Region 12,77.29802836947167,2720491264589.686,raw,Implementation CAPEX
SC11,2030,Region 12,100.0,3519483383956.6934,raw,Implementation CAPEX
SC2,2024,Region 12,0.0,0.0,raw,Implementation CAPEX
SC2,2025,Region 12,0.0,0.0,raw,Implementation CAPEX
SC2,2026,Region 12,1.5104558585854697,53160242964.916016,raw,Implementation CAPEX
SC2,2027,Region 12,1.87750490497313,66078473163.50121,raw,Implementation CAPEX
SC2,2028,Region 12,3.8899376468667124,136905709127.74995,raw,Implementation CAPEX
SC2,2029,Region 12,5.803311746031179,204246592620.7744,raw,Implementation CAPEX
SC2,2030,Region 12,8.418085759013767,296273129535.71423,raw,Implementation CAPEX
SC3,2024,Region 12,0.0,0.0,raw,Implementation CAPEX
SC3,2025,Region 12,0.0,0.0,raw,Implementation CAPEX
SC3,2026,Region 12,0.23880952696472107,8404861620.828938,raw,Implementation CAPEX
SC3,2027,Region 12,0.29684154997450124,10447289028.032076,raw,Implementation CAPEX
SC3,2028,Region 12,0.6909113304672132,24316509473.667686,raw,Implementation CAPEX
SC3,2029,Region 12,0.8589627485837423,30231051210.78252,raw,Implementation CAPEX
SC3,2030,Region 12,1.4927511841034853,52537129888.33896,raw,Implementation CAPEX
SC4,2024,Region 12,0.0,0.0,raw,Implementation CAPEX
SC4,2025,Region 12,0.0,0.0,raw,Implementation CAPEX
SC4,2026,Region 12,0.0,0.0,raw,Implementation CAPEX
SC4,2027,Region 12,0.0,0.0,raw,Implementation CAPEX
SC4,2028,Region 12,0.0,0.0,raw,Implementation CAPEX
SC4,2029,Region 12,0.0,0.0,raw,Implementation CAPEX
SC4,2030,Region 12,0.0,0.0,raw,Implementation CAPEX
SC5,2024,Region 12,14.04397923398828,494275515586.546,raw,Implementation CAPEX
SC5,2025,Region 12,13.248147914572947,466266364535.4001,raw,Implementation CAPEX
SC5,2026,Region 12,24.36835104094798,857640065830.4021,raw,Implementation CAPEX
SC5,2027,Region 12,32.67011292193559,1149819195807.4116,raw,Implementation CAPEX
SC5,2028,Region 12,50.70679087047858,1784617079224.163,raw,Implementation CAPEX
SC5,2029,Region 12,63.21004724706142,2224667109851.502,raw,Implementation CAPEX
SC5,2030,Region 12,78.33250754302792,2756899587213.491,raw,Implementation CAPEX
SC6,2024,Region 12,0.0,0.0,raw,Implementation CAPEX
