Scenario,year,Geo,delta_display,annot,annot_mode,kpi
SC10,2028,Region 12,-7.4646613761318825,-7.4646613761318825,pct,Health indicator
SC10,2029,Region 12,-7.776680562199475,-7.776680562199475,pct,Health indicator
SC10,2030,Region 12,-8.61314957252513,-8.61314957252513,pct,Health indicator
SC11,2024,Region 12,-0.23931055540769966,-0.23931055540769966,pct,Health indicator
SC11,2025,Region 12,-1.8524533893568673,-1.8524533893568673,pct,Health indicator
SC11,2026,Region 12,-3.9945732211163736,-3.9945732211163736,pct,Health indicator
SC11,2027,Region 12,-5.566735629987704,-5.566735629987704,pct,Health indicator
SC11,2028,Region 12,-7.043738615564219,-7.043738615564219,pct,Health indicator
SC11,2029,Region 12,-7.897496161189118,-7.897496161189118,pct,Health indicator
SC11,2030,Region 12,-8.902413893789495,-8.902413893789495,pct,Health indicator
SC2,2024,Region 12,0.0,0.0,pct,Health indicator
SC2,2025,Region 12,0.0,0.0,pct,Health indicator
SC2,2026,Region 12,0.12975196250013277,0.12975196250013277,pct,Health indicator
SC2,2027,Region 12,-0.4056045169684614,-0.4056045169684614,pct,Health indicator
SC2,2028,Region 12,-0.4662781123225464,-0.4662781123225464,pct,Health indicator
SC2,2029,Region 12,-0.781778810534862,-0.781778810534862,pct,Health indicator
SC2,2030,Region 12,-0.971899821859501,-0.971899821859501,pct,Health indicator
SC3,2024,Region 12,0.0,0.0,pct,Health indicator
SC3,2025,Region 12,0.0,0.0,pct,Health indicator
SC3,2026,Region 12,0.06428512446127282,0.06428512446127282,pct,Health indicator
SC3,2027,Region 12,-0.16385458406593295,-0.16385458406593295,pct,Health indicator
SC3,2028,Region 12,-0.15053700822843386,-0.15053700822843386,pct,Health indicator
SC3,2029,Region 12,-0.42145199949726475,-0.42145199949726475,pct,Health indicator
SC3,2030,Region 12,-0.4129214556745784,-0.4129214556745784,pct,Health indicator
SC4,2024,Region 12,-0.09142824133573087,-0.09142824133573087,pct,Health indicator
SC4,2025,Region 12,-0.8155329225914162,-0.8155329225914162,pct,Health indicator
SC4,2026,Region 12,-1.0020467368695474,-1.0020467368695474,pct,Health indicator
SC4,2027,Region 12,-1.013141295918225,-1.013141295918225,pct,Health indicator
SC4,2028,Region 12,-0.9918493665628454,-0.9918493665628454,pct,Health indicator
SC4,2029,Region 12,-0.8954250721802063,-0.8954250721802063,pct,Health indicator
SC4,2030,Region 12,-0.8729444046199875,-0.8729444046199875,pct,Health indicator
SC5,2024,Region 12,-0.1205000916154772,-0.1205000916154772,pct,Health indicator
SC5,2025,Region 12,-0.7056678527574848,-0.7056678527574848,pct,Health indicator
SC5,2026,Region 12,-2.281679540934506,-2.281679540934506,pct,Health indicator
SC5,2027,Region 12,-2.9034309750986327,-2.9034309750986327,pct,Health indicator
SC5,2028,Region 12,-3.002690016051465,-3.002690016051465,pct,Health indicator
SC5,2029,Region 12,-3.101814123337087,-3.101814123337087,pct,Health indicator
SC5,2030,Region 12,-3.134981956040718,-3.134981956040718,pct,Health indicator
SC6,2024,Region 12,0.02238694770072359,0.02238694770072359,pct,Health indicator
SC6,2025,Region 12,-1.4287344578254382,-1.4287344578254382,pct,Health indicator
SC6,2026,Region 12,-3.3307387124833805,-3.3307387124833805,pct,Health indicator
SC6,2027,Region 12,-4.212753645294399,-4.212753645294399,pct,Health indicator
SC6,2028,Region 12,-5.934689457054027,-5.934689457054027,pct,Health indicator
SC6,2029,Region 12,-6.213449289316023,-6.213449289316023,pct,Health indicator
SC6,2030,Region 12,-7.186119902793473,-7.186119902793473,pct,Health indicator
SC7,2024,Region 12,-0.257027981557804,-0.257027981557804,pct,Health indicator
SC7,2025,Region 12,-0.3538458941704752,-0.3538458941704752,pct,Health indicator
SC7,2026,Region 12,-0.60702671318606,-0.60702671318606,pct,Health indicator
SC7,2027,Region 12,-0.8000120429915115,-0.8000120429915115,pct,Health indicator
SC7,2028,Region 12,-1.2818456407998418,-1.2818456407998418,pct,Health indicator
SC7,2029,Region 12,-1.6309153878601736,-1.6309153878601736,pct,Health indicator
SC7,2030,Region 12,-2.0106511005337437,-2.0106511005337437,pct,Health indicator
SC8,2024,Region 12,-0.06630241140071826,-0.06630241140071826,pct,Health indicator
SC8,2025,Region 12,-1.6820212884462122,-1.6820212884462122,pct,Health indicator
