scenario,kpi,auc,geo,kpi_display,delta_mode
SC11,Farebox recovery,-76.14122328075274,Tehran,Farebox recovery,percent
SC11,Final energy,-45.984428323620016,Tehran,Final energy,percent
SC11,Health indicator,-25.961884750633985,Tehran,Health indicator,percent
SC11,Implementation CAPEX,267.9955427309812,Tehran,CAPEX,raw_normalized
SC11,Modal share: public transport,245.34464280356858,Tehran,Modal share: public transport,percent
SC11,NOₓ emissions,-51.45325979595484,Tehran,Emissions: NOₓ,percent
SC11,Net annual value,211.0006862598276,Tehran,Net annual value,raw_normalized
SC11,Net fiscal pressure,330.9224134294898,Tehran,Net fiscal pressure,raw_normalized
SC11,Net recurrent public burden,385.7838404632706,Tehran,Net recurrent burden,percent
SC11,Noise exposure index,-9.084563798973976,Tehran,Noise exposure,percent
SC11,Non-public transport trips,-41.28939702394085,Tehran,Non-PT trips,percent
SC11,PCE-weighted VKT,-39.0520713611557,Tehran,PCE-weighted VKT,percent
SC11,PM₂.₅ emissions,-54.77713341166633,Tehran,Emissions: PM₂.₅,percent
SC11,PT OPEX,418.842488874544,Tehran,PT OPEX,percent
SC11,PT affordability ratio,231.81668674668066,Tehran,PT affordability,percent
SC11,PT subsidy need,376.8423605953627,Tehran,PT subsidy,percent
SC11,Public transport trips,238.30192775606596,Tehran,PT trips,percent
SC11,Time loss (car),-97.01182053541203,Tehran,Time loss (car),percent
SC2,Avoided external cost,21.23586036114747,Tehran,Avoided ext. cost,raw_normalized
SC2,Budget use,18.016786974194893,Tehran,Budget use,percent
SC2,CO₂ emissions,-3.58542265917103,Tehran,Emissions: CO₂,percent
SC2,Congestion index,-3.001703426263511,Tehran,Congestion index,percent
SC2,Electricity use,13.026269289647336,Tehran,Electricity use,percent
SC2,Energy cost,-2.5999013833387297,Tehran,Energy cost,percent
SC2,Farebox recovery,0.10116313827662582,Tehran,Farebox recovery,percent
SC2,Final energy,-3.907154612008307,Tehran,Final energy,percent
