panel_metric,scenario,geo,p05,p25,median,p75,p95,frozen_central_2030
Time loss (car),SC5,Tehran,-19.327062618462524,-17.58045742355371,-16.124902332058518,-15.037234502392081,-13.162280942755233,-16.215579145764014
Time loss (car),SC5,Region 12,-13.629655793463309,-12.60255659822548,-11.883102512570952,-11.052136222994562,-9.907349452699151,-11.6445671748821
Time loss (car),SC6,Tehran,-16.66201723475367,-14.31925611496088,-12.789892675015516,-11.862781318023593,-10.08809802314486,-13.181437193968387
Time loss (car),SC6,Region 12,-10.226825570115919,-8.83627665981317,-8.204213957419864,-7.380728394800948,-6.282185311008884,-8.153811047871312
Time loss (car),SC7,Tehran,0.022667141372424544,0.0256871396837982,0.0274752732960757,0.030838118363363524,0.032486733847600216,0.02771818533288666
Time loss (car),SC7,Region 12,0.01540629505221496,0.017402986783411973,0.0186543694029995,0.0209181710200045,0.02199237592114359,0.018821071822443206
Time loss (car),SC8,Tehran,-28.18285502648856,-25.662133504769443,-23.84920807054216,-23.23051262932583,-21.038833466306667,-24.349854523463218
Time loss (car),SC8,Region 12,-23.635899906889986,-22.4705018521858,-21.625520550574162,-20.87552993685885,-19.62820637476397,-21.407173851188006
Time loss (car),SC9,Tehran,-24.452972982116922,-23.07214950061322,-21.275692944624517,-19.701288831912244,-18.00709078653639,-21.180611472609197
Time loss (car),SC9,Region 12,-23.609800074691844,-22.62740203769666,-21.826407636263497,-20.776044026445174,-19.544105301001807,-21.49238255422801
Time loss (car),SC10,Tehran,-22.55821065067412,-20.97578857852964,-19.22183607410913,-17.65392855238317,-15.951478819213525,-19.133811649919306
Time loss (car),SC10,Region 12,-19.76345770915687,-18.524195189902464,-17.715242292948723,-16.47851966939218,-15.398292379241054,-17.26245149338324
Time loss (car),SC11,Tehran,-28.201494498206177,-26.39792259687447,-24.91375295361266,-23.5812317476207,-21.734761474483697,-24.90799473360341
Time loss (car),SC11,Region 12,-26.031287121267994,-24.966382318837688,-24.350790062237095,-23.345257947379217,-22.108573926784043,-23.922199438828528
PCE-weighted VKT,SC1,Tehran,-5.201426140067303,-4.471945234258348,-4.213152971417904,-4.167432165738768,-4.120216816824335,-4.189897502860366
PCE-weighted VKT,SC1,Region 12,-4.405175395818029,-4.36780597709787,-4.321663367157243,-4.294039361512115,-4.251793308271967,-4.325480790203932
PCE-weighted VKT,SC2,Tehran,-1.49221461709677,-1.3052117044463134,-1.2299596457277864,-1.1168701209623284,-1.0248197589018702,-1.2131117649531349
PCE-weighted VKT,SC2,Region 12,-2.0839770494250995,-2.000218184281214,-1.9166310388254255,-1.8604550906029396,-1.7739576126636991,-1.9235799738736605
PCE-weighted VKT,SC3,Tehran,-0.2531360079039324,-0.22831682088328267,-0.21691559602206195,-0.202428788615963,-0.18615836380039888,-0.21289991127490407
PCE-weighted VKT,SC3,Region 12,-1.3194541889384501,-1.2317230163902682,-1.1481923132397784,-1.1132070761294934,-1.0369912111269475,-1.165312453458553
PCE-weighted VKT,SC4,Tehran,-1.4684770805851326,-1.2211264863218072,-1.0631864902034478,-0.9502526724427378,-0.8407853804338005,-1.0393131795109245
PCE-weighted VKT,SC4,Region 12,-3.2285767102798926,-3.039070828566696,-2.8605479648731853,-2.743732981536645,-2.5687996577415864,-2.773710245146886
PCE-weighted VKT,SC5,Tehran,-7.63418205199745,-7.058600934147214,-6.279951917083338,-5.820222658301473,-5.166373920180712,-6.343910563390643
PCE-weighted VKT,SC5,Region 12,-2.6065270255330018,-2.3986915335878893,-2.1696027662056285,-2.0385390538699726,-1.9000416422408193,-2.181164941663745
PCE-weighted VKT,SC6,Tehran,-6.230865308507617,-5.261271063571927,-4.595485521713749,-4.219214593016413,-3.533285877188308,-4.767807441127122
PCE-weighted VKT,SC6,Region 12,-0.9523547333192905,-0.8422661276776369,-0.7806971932240914,-0.6461814530272247,-0.49665095999523906,-0.6529016726192819
PCE-weighted VKT,SC7,Tehran,0.009881562439103899,0.011243255503243125,0.011994486475901199,0.01347858234471755,0.01423394367776847,0.01209909620324754
PCE-weighted VKT,SC7,Region 12,0.0,0.0,0.0,0.0,0.0,0.0
PCE-weighted VKT,SC8,Tehran,-11.825904028101,-10.815259663394215,-9.905737966719865,-9.568705295055908,-8.665638079887561,-10.115938090603645
PCE-weighted VKT,SC8,Region 12,-8.819965454416305,-8.494945820443604,-8.237074535815712,-8.050886549725499,-7.671764001820681,-8.088079545686425
PCE-weighted VKT,SC9,Tehran,-9.699726165829418,-9.152665111393542,-8.388164535102234,-7.561173810071972,-7.01986080451165,-8.256707467147015
PCE-weighted VKT,SC9,Region 12,-6.232993614528334,-5.971136372486429,-5.534023103156687,-5.284994072010122,-4.991716950725889,-5.574780479934941
PCE-weighted VKT,SC10,Tehran,-9.208721973107478,-8.622252298568641,-7.860278236186142,-7.048926920461208,-6.466776595924337,-7.725654096941162
PCE-weighted VKT,SC10,Region 12,-6.1837864804832785,-5.742213992433582,-5.462736874992096,-5.114563586940541,-4.662181961286151,-5.288014843239387
PCE-weighted VKT,SC11,Tehran,-11.739039771255861,-11.09829208818006,-10.312215094449435,-9.647334946899052,-8.969400964020384,-10.268150176649714
PCE-weighted VKT,SC11,Region 12,-7.937663495258389,-7.590260507671851,-7.25128954257401,-7.0522304933699616,-6.771722847408432,-7.234079856290058
CO₂ emissions,SC1,Tehran,-5.495802748771448,-4.690099776799294,-4.27651977477502,-4.250889372831041,-4.226032467831081,-4.267761299932622
CO₂ emissions,SC1,Region 12,-0.6476243652100604,-0.5682573060696957,-0.5462160606125144,-0.5209545211825918,-0.47587992433334797,-0.5364892889717275
CO₂ emissions,SC2,Tehran,-1.828361211126416,-1.6269118141319259,-1.5523646559863078,-1.4952840512105539,-1.433656582605816,-1.5455708998886704
CO₂ emissions,SC2,Region 12,-2.184819374457215,-2.058858484729636,-1.9953238204052826,-1.9382847819866236,-1.8809829318588973,-1.9796176015603673
CO₂ emissions,SC3,Tehran,-0.31767457910015323,-0.29966065127885166,-0.285196327749986,-0.27659009859355316,-0.26285406826236307,-0.2857631585292747
CO₂ emissions,SC3,Region 12,-1.5255602161622843,-1.427710143459781,-1.3766836143482994,-1.3488909779605418,-1.2930419482675999,-1.381505983317269
CO₂ emissions,SC4,Tehran,-1.119687474056821,-0.9068850157674513,-0.7930555589461816,-0.6808816413069368,-0.6134578591837809,-0.7470316131677955
CO₂ emissions,SC4,Region 12,-1.7264448295570083,-1.535293572467314,-1.442116622743201,-1.3193818703759368,-1.2283170495935514,-1.403376582201474
CO₂ emissions,SC5,Tehran,-7.911065357450735,-7.091227154593294,-6.303121582161284,-6.082016899053816,-5.274773872170336,-6.573917367463464
CO₂ emissions,SC5,Region 12,-1.4500446127680164,-1.2951335940564057,-1.1759086520435251,-1.094072046397525,-1.0055820178057664,-1.1501718113017791
CO₂ emissions,SC6,Tehran,-7.450980840346189,-6.310824735255141,-5.698479884546472,-5.213109118829493,-4.508895674002973,-5.886924649219636
CO₂ emissions,SC6,Region 12,-1.0291747081802678,-0.8985278742502324,-0.8619796935771387,-0.6758974862177174,-0.5259200379860729,-0.723791047397894
CO₂ emissions,SC7,Tehran,-1.5248038570668507,-1.3622708010368463,-1.270058334706721,-1.1236761467687504,-1.0341575251145494,-1.2635040807005848
CO₂ emissions,SC7,Region 12,-2.918719935358015,-2.5268283828983105,-2.3956766711879305,-2.1362415257147704,-1.8758448639620866,-2.3295414533809846
CO₂ emissions,SC8,Tehran,-12.774496042900985,-11.527160772651508,-10.753956438565915,-10.270011515940979,-9.453100411276566,-10.98779360060669
CO₂ emissions,SC8,Region 12,-3.956861004620272,-3.489606031034519,-3.264151148867176,-3.096954838888848,-2.8403104878046523,-3.186964451042829
CO₂ emissions,SC9,Tehran,-10.31265851813929,-9.276933020511134,-8.315006649853474,-8.11425250867992,-7.151470752302592,-8.656462300723923
CO₂ emissions,SC9,Region 12,-4.649512140178409,-4.331439570648393,-4.0317570388833515,-3.8974565516325024,-3.7740152324018053,-4.078587792569007
CO₂ emissions,SC10,Tehran,-9.725004374107474,-8.71221848179601,-7.694960059998555,-7.49397651907245,-6.49859235001486,-8.032855228245182
CO₂ emissions,SC10,Region 12,-4.371415739033382,-3.918066846681417,-3.6370943277555474,-3.5308471988173835,-3.277428257487893,-3.514237075416285
CO₂ emissions,SC11,Tehran,-12.878681330439248,-11.737302360104504,-10.85807103192981,-10.590270717625689,-9.602614111571691,-11.15466526735764
CO₂ emissions,SC11,Region 12,-5.520060510729228,-4.997030668364749,-4.736051434087957,-4.668331101834823,-4.495065720102553,-4.7265624929370516
NOₓ emissions,SC1,Tehran,-5.4908008692010215,-4.68977628509915,-4.326588019558208,-4.287365276435328,-4.2556165240288,-4.3050993920211065
NOₓ emissions,SC1,Region 12,-0.7412478241269561,-0.6959160339793518,-0.6678176172923498,-0.6492691953392602,-0.6154063328419022,-0.669218442420695
NOₓ emissions,SC2,Tehran,-1.7971699418536928,-1.6023222267453585,-1.527227070197413,-1.4596676285332837,-1.3935265876078324,-1.524658139794004
NOₓ emissions,SC2,Region 12,-1.9661316868382486,-1.8690092019135416,-1.7989360110064812,-1.712981829888447,-1.6311140804002013,-1.8013325527129291
NOₓ emissions,SC3,Tehran,-0.3201559142857927,-0.29447319865119653,-0.28391348884843115,-0.2717090243451358,-0.2561397624916786,-0.28193158762236264
NOₓ emissions,SC3,Region 12,-1.425785106438645,-1.3088524399354833,-1.2591859906175698,-1.2163141679016911,-1.1463112044219408,-1.2778379396383919
NOₓ emissions,SC4,Tehran,-1.2852904959030027,-1.0607121650327391,-0.9244034551298956,-0.8128081138608972,-0.7261161341899044,-0.891793153803442
