scenario,geo,group,kpi,unit,value_2030
SC11,Tehran,secondary,Energy: gasoline,MJ/year,192805419736.2072
SC11,Region12,main,Final energy,MJ/year,2985538635.9805493
SC11,Tehran,main,Final energy,MJ/year,228211230580.6513
SC11,Region12,main,Health indicator,IRR/year,360652197492442.2
SC11,Tehran,main,Health indicator,IRR/year,1.181057065889856e+16
SC11,Region12,main,Modal share: car,–,0.1896421745102328
SC11,Tehran,main,Modal share: car,–,0.5003693447583978
SC11,Region12,main,Modal share: public transport,–,0.3814106730699902
SC11,Tehran,main,Modal share: public transport,–,0.1844309638252407
SC11,Region12,secondary,Municipal budget,IRR/year,44970517380498.805
SC11,Tehran,secondary,Municipal budget,IRR/year,5692470554493519.0
SC11,Region12,main,NOₓ emissions,t/year,767.6419138874949
SC11,Tehran,main,NOₓ emissions,t/year,57190.93337236566
SC11,Region12,secondary,Non-public transport trips,trips/year,191632949.45993257
SC11,Tehran,secondary,Non-public transport trips,trips/year,6314727614.914923
SC11,Region12,main,PM₂.₅ emissions,t/year,22.87819619489653
SC11,Tehran,main,PM₂.₅ emissions,t/year,1015.9665042919838
SC11,Region12,secondary,Population,persons,249861.9999999996
SC11,Tehran,secondary,Population,persons,10606308.3056892
SC11,Region12,secondary,Public transport trips,trips/year,118157312.21655907
SC11,Tehran,secondary,Public transport trips,trips/year,1427998426.4423041
SC11,Region12,main,Time loss (car),hours/year,50964939.10687808
SC11,Tehran,main,Time loss (car),hours/year,736460102.1456448
SC11,Region12,secondary,Trips total (effective),trips/year,309790261.6764916
SC11,Tehran,secondary,Trips total (effective),trips/year,7742726041.357227
SC11,Region12,main,PCE-weighted VKT,PCE-km/year,950736719.7679805
SC11,Tehran,main,PCE-weighted VKT,PCE-km/year,66840717786.67574
SC2,Region12,main,CO₂ emissions,t/year,229009.33263623947
SC2,Tehran,main,CO₂ emissions,t/year,17340574.539712735
SC2,Region12,main,Climate cost,IRR/year,3435139989543.5923
SC2,Tehran,main,Climate cost,IRR/year,260108618095691.03
SC2,Region12,main,Congestion index,–,1.234414189970712
SC2,Tehran,main,Congestion index,–,0.4048824410321569
SC2,Region12,main,Electricity use,kWh/year,75320659.12518547
SC2,Tehran,main,Electricity use,kWh/year,1455255904.4978952
SC2,Region12,secondary,Energy: CNG,MJ/year,485597860.4578783
SC2,Tehran,secondary,Energy: CNG,MJ/year,31316343556.668068
SC2,Region12,secondary,Energy: diesel,MJ/year,86249660.26664855
SC2,Tehran,secondary,Energy: diesel,MJ/year,1190821361.442585
SC2,Region12,secondary,Energy: gasoline,MJ/year,2293128793.8770895
SC2,Tehran,secondary,Energy: gasoline,MJ/year,218156116401.1445
SC2,Region12,main,Final energy,MJ/year,3136130687.452284
SC2,Tehran,main,Final energy,MJ/year,255902202575.4476
SC2,Region12,main,Health indicator,IRR/year,391856262845649.94
SC2,Tehran,main,Health indicator,IRR/year,1.2634868019443906e+16
SC2,Region12,main,Modal share: car,–,0.1994682789165245
SC2,Tehran,main,Modal share: car,–,0.5537738930598006
SC2,Region12,main,Modal share: public transport,–,0.35276275300693327
SC2,Tehran,main,Modal share: public transport,–,0.1292217010654057
SC2,Region12,secondary,Municipal budget,IRR/year,44970517380498.805
SC2,Tehran,secondary,Municipal budget,IRR/year,5692470554493519.0
SC2,Region12,main,NOₓ emissions,t/year,892.3693441167093
SC2,Tehran,main,NOₓ emissions,t/year,65538.216551908
SC2,Region12,secondary,Non-public transport trips,trips/year,205517279.808076
SC2,Tehran,secondary,Non-public transport trips,trips/year,6904971995.465971
SC2,Region12,main,PM₂.₅ emissions,t/year,30.13592939256093
SC2,Tehran,main,PM₂.₅ emissions,t/year,1197.1011730053751
SC2,Region12,secondary,Population,persons,249861.9999999996
SC2,Tehran,secondary,Population,persons,10597601.841811445
SC2,Region12,secondary,Public transport trips,trips/year,112012777.00319019
SC2,Tehran,secondary,Public transport trips,trips/year,1024683582.6694411
SC2,Region12,main,Time loss (car),hours/year,62157832.4041579
SC2,Tehran,main,Time loss (car),hours/year,942821866.7737168
SC2,Region12,secondary,Trips total (effective),trips/year,317530056.8112662
SC2,Tehran,secondary,Trips total (effective),trips/year,7929655578.135412
SC2,Region12,main,PCE-weighted VKT,PCE-km/year,1005162819.6839328
SC2,Tehran,main,PCE-weighted VKT,PCE-km/year,73585761694.88927
SC3,Region12,main,CO₂ emissions,t/year,230406.7271289385
SC3,Tehran,main,CO₂ emissions,t/year,17562461.86610753
SC3,Region12,main,Climate cost,IRR/year,3456100906934.078
SC3,Tehran,main,Climate cost,IRR/year,263436927991612.97
SC3,Region12,main,Congestion index,–,1.2471059220694556
