scenario,geo,group,kpi,unit,mean_2024_2030
SC4,Region12,main,Modal share: car,–,0.2058959957644786
SC4,Region12,main,Modal share: public transport,–,0.36733680184835665
SC4,Region12,main,NOₓ emissions,t/year,872.2993838816589
SC4,Region12,main,PM₂.₅ emissions,t/year,28.600791752082834
SC4,Region12,main,Time loss (car),hours/year,60371270.92122792
SC4,Region12,main,PCE-weighted VKT,PCE-km/year,972174993.1829046
SC4,Region12,secondary,Energy: CNG,MJ/year,470458187.176696
SC4,Region12,secondary,Energy: diesel,MJ/year,84535171.36132728
SC4,Region12,secondary,Energy: gasoline,MJ/year,2265015607.382444
SC4,Region12,secondary,Municipal budget,IRR/year,25492972518753.945
SC4,Region12,secondary,Non-public transport trips,trips/year,195806346.62779453
SC4,Region12,secondary,Population,persons,247791.92857142843
SC4,Region12,secondary,Public transport trips,trips/year,113662802.25998177
SC4,Region12,secondary,Trips total (effective),trips/year,309469148.8877763
SC4,Tehran,main,CO₂ emissions,t/year,16828772.915754024
SC4,Tehran,main,Climate cost,IRR/year,252431593736310.34
SC4,Tehran,main,Congestion index,–,0.39574973941845953
SC4,Tehran,main,Electricity use,kWh/year,1305714396.1004825
SC4,Tehran,main,Final energy,MJ/year,248690607406.8213
SC4,Tehran,main,Health indicator,IRR/year,1.2020994639854486e+16
SC4,Tehran,main,Modal share: car,–,0.5648987902840376
SC4,Tehran,main,Modal share: public transport,–,0.13287051856197465
SC4,Tehran,main,NOₓ emissions,t/year,63683.17868271206
SC4,Tehran,main,PM₂.₅ emissions,t/year,1147.4192184755
SC4,Tehran,main,Time loss (car),hours/year,889677361.4581816
SC4,Tehran,main,PCE-weighted VKT,PCE-km/year,70775821141.05008
SC4,Tehran,secondary,Energy: CNG,MJ/year,29630408417.18096
SC4,Tehran,secondary,Energy: diesel,MJ/year,1209295327.9734035
SC4,Tehran,secondary,Energy: gasoline,MJ/year,213150331835.70517
SC4,Tehran,secondary,Municipal budget,IRR/year,3226958546677714.5
SC4,Tehran,secondary,Non-public transport trips,trips/year,6637272990.337306
SC4,Tehran,secondary,Population,persons,10229154.096295686
SC4,Tehran,secondary,Public transport trips,trips/year,1016691562.2159398
SC4,Tehran,secondary,Trips total (effective),trips/year,7653964552.5532465
SC5,Region12,main,CO₂ emissions,t/year,227492.5359928021
SC5,Region12,main,Climate cost,IRR/year,3412388039892.0317
SC5,Region12,main,Congestion index,–,1.1650705929999
SC5,Region12,main,Electricity use,kWh/year,77063224.49816868
SC5,Region12,main,Final energy,MJ/year,3102839894.3428206
SC5,Region12,main,Health indicator,IRR/year,378506351256683.1
SC5,Region12,main,Modal share: car,–,0.20808310389242615
SC5,Region12,main,Modal share: public transport,–,0.36676605247288435
SC5,Region12,main,NOₓ emissions,t/year,871.7559087988454
SC5,Region12,main,PM₂.₅ emissions,t/year,28.355332660961214
SC5,Region12,main,Time loss (car),hours/year,57793485.677405514
SC5,Region12,main,PCE-weighted VKT,PCE-km/year,979455683.43617
SC5,Region12,secondary,Energy: CNG,MJ/year,469353652.3340702
SC5,Region12,secondary,Energy: diesel,MJ/year,82715831.32240057
SC5,Region12,secondary,Energy: gasoline,MJ/year,2273342802.492943
SC5,Region12,secondary,Municipal budget,IRR/year,25492972518753.945
SC5,Region12,secondary,Non-public transport trips,trips/year,195973509.11938396
SC5,Region12,secondary,Population,persons,247791.92857142843
SC5,Region12,secondary,Public transport trips,trips/year,113495639.76839234
SC5,Region12,secondary,Trips total (effective),trips/year,309469148.8877763
SC5,Tehran,main,CO₂ emissions,t/year,16184884.33111101
SC5,Tehran,main,Climate cost,IRR/year,242773264966665.16
SC5,Tehran,main,Congestion index,–,0.38213804531830126
SC5,Tehran,main,Electricity use,kWh/year,1439959843.7152805
SC5,Tehran,main,Final energy,MJ/year,238488325296.04764
SC5,Tehran,main,Health indicator,IRR/year,1.179877312669632e+16
SC5,Tehran,main,Modal share: car,–,0.5287772643418888
SC5,Tehran,main,Modal share: public transport,–,0.16294229507291783
SC5,Tehran,main,NOₓ emissions,t/year,61209.01930931342
SC5,Tehran,main,PM₂.₅ emissions,t/year,1119.0500599232748
SC5,Tehran,main,Time loss (car),hours/year,805046828.6879815
SC5,Tehran,main,PCE-weighted VKT,PCE-km/year,68332218552.91417
SC5,Tehran,secondary,Energy: CNG,MJ/year,29395477847.78233
SC5,Tehran,secondary,Energy: diesel,MJ/year,1778608736.326544
SC5,Tehran,secondary,Energy: gasoline,MJ/year,202130383274.56372
SC5,Tehran,secondary,Municipal budget,IRR/year,3226958546677714.5
SC5,Tehran,secondary,Non-public transport trips,trips/year,6406195759.4026165
SC5,Tehran,secondary,Population,persons,10230695.16410507
SC5,Tehran,secondary,Public transport trips,trips/year,1248921897.1390023
SC5,Tehran,secondary,Trips total (effective),trips/year,7655117656.541618
SC6,Region12,main,CO₂ emissions,t/year,228108.4879842012
SC6,Region12,main,Climate cost,IRR/year,3421627319763.0186
SC6,Region12,main,Congestion index,–,1.180349033652583
SC6,Region12,main,Electricity use,kWh/year,71532955.33001646
SC6,Region12,main,Final energy,MJ/year,3139412945.446294
SC6,Region12,main,Health indicator,IRR/year,371226107376698.6
SC6,Region12,main,Modal share: car,–,0.21088751170269313
SC6,Region12,main,Modal share: public transport,–,0.3521795075008072
SC6,Region12,main,NOₓ emissions,t/year,812.650292750922
SC6,Region12,main,PM₂.₅ emissions,t/year,22.959023408339785
SC6,Region12,main,Time loss (car),hours/year,59759154.07953114
SC6,Region12,main,PCE-weighted VKT,PCE-km/year,994129431.1925433
SC6,Region12,secondary,Energy: CNG,MJ/year,482188491.03931874
SC6,Region12,secondary,Energy: diesel,MJ/year,84616385.44367158
SC6,Region12,secondary,Energy: gasoline,MJ/year,2315089429.775244
SC6,Region12,secondary,Municipal budget,IRR/year,25492972518753.945
SC6,Region12,secondary,Non-public transport trips,trips/year,200495352.51841417
SC6,Region12,secondary,Population,persons,247791.92857142843
SC6,Region12,secondary,Public transport trips,trips/year,108973796.36936213
SC6,Region12,secondary,Trips total (effective),trips/year,309469148.8877763
SC6,Tehran,main,CO₂ emissions,t/year,16263197.921101434
SC6,Tehran,main,Climate cost,IRR/year,243947968816521.5
SC6,Tehran,main,Congestion index,–,0.38714930685181465
SC6,Tehran,main,Electricity use,kWh/year,1251390351.6660364
SC6,Tehran,main,Final energy,MJ/year,240607401668.09164
