number,value,params_alpha_delay_congestion_r12,params_congestion_multiplier_r12,params_spd_bus_history_calibration_factor,params_spd_car_history_calibration_factor,user_attrs_component_activity,user_attrs_component_annual_distance,user_attrs_component_city_modal,user_attrs_component_energy_environment,user_attrs_component_operational_shares,user_attrs_component_r12_modal,user_attrs_component_speed,user_attrs_fit_loss,user_attrs_omega,user_attrs_stability,state,study_file
4,0.0946755238673009,0.944288778131631,3.151789929414511,1.0106798166311044,0.919646890803962,0.0415882358075321,0.1286575559768246,0.0725542943285861,0.0932750171821726,3.193111471854626e-17,0.1072224682047174,0.1070560955337409,0.0838604688600496,0.2703763751812819,0.0,COMPLETE,random_seed303
5,0.1019562303469067,1.0076644999869355,3.1972952693056933,0.9251749669637992,0.904664631391914,0.0415801591229743,0.1286569215932515,0.072565664415854,0.0933799925594256,3.193111471854626e-17,0.1051110727754408,0.1219296354238371,0.0848382919368739,0.4279484602508191,0.0,COMPLETE,random_seed303
6,0.1000518370195676,1.007693176747856,2.762458395517373,1.0517172150443397,0.916566510026468,0.038684487453104,0.1298120828064847,0.0667038843108842,0.0888569754179742,3.193111471854626e-17,0.1094894511256629,0.1046365871468809,0.0815347859876998,0.4629262757966947,0.0,COMPLETE,random_seed303
7,0.118689138084337,0.9129670297589332,3.324365866796561,0.9021185484766148,1.099779168767532,0.0415801833424037,0.1286569331600375,0.0725657139375466,0.0933799890622277,3.193111471854626e-17,0.1053455800896454,0.1070568742412511,0.0834096599793768,0.8819869526240035,0.0,COMPLETE,random_seed303
8,0.086214468752356,1.0335830066343132,2.932642784715207,1.0024748208403964,0.9813801366017324,0.0415882358075321,0.1286575559768246,0.0725542943285861,0.0932750171821726,3.193111471854626e-17,0.1095184644530716,0.0955289869375285,0.0832817570625169,0.0733177922459774,0.0,COMPLETE,random_seed303
9,0.0946875029626845,0.9841622064981048,2.789250876921088,0.9428719386808128,1.001218698286183,0.0415792121737183,0.12865688922454,0.0725663675869751,0.0933895913271717,3.193111471854626e-17,0.1095269488035863,0.1017224526799551,0.0839230971226592,0.2691101460006323,0.0,COMPLETE,random_seed303
1,0.0921181679007814,0.9556070611087129,3.288523075819892,0.9701422630739406,1.033765017126236,0.0415882341659723,0.1286575556877622,0.0725543042814435,0.0932750746103995,3.193111471854626e-17,0.1046140825656558,0.0943181485678037,0.0819345891751726,0.2545894681402197,0.0,COMPLETE,random_seed404
2,0.1041807730989831,0.9012494502398012,3.031846665097896,1.0835782755283632,0.9104974088129276,0.0351488785699133,0.1289049886173927,0.0618625274450277,0.0883800019649351,3.193111471854626e-17,0.1087763729257756,0.1043207295216333,0.0794020619997167,0.6194677774816593,0.0,COMPLETE,random_seed404
3,0.0867077983776421,0.9693425550465744,3.2134291443624683,1.0682253391510956,0.9976012698988014,0.0375481362430353,0.1289043986953523,0.0646571488205614,0.0888755648886805,3.193111471854626e-17,0.1059352399542047,0.0878015353446908,0.0781924764615619,0.2128830479020055,0.0,COMPLETE,random_seed404
4,0.0852030526102588,1.0201799748041642,3.14774860888718,1.045457048006326,0.9717874242157296,0.0408190163728991,0.1293202621272905,0.0715147659712801,0.0885625425342389,3.193111471854626e-17,0.1051690877689709,0.0930167490002686,0.0808806727574439,0.1080594963203722,0.0,COMPLETE,random_seed404
5,0.0956764344256667,1.039677745560719,2.7545915947989816,1.0399186493442774,1.0448599693072051,0.0408190163728991,0.1293202621272905,0.0715147659712801,0.0885625425342389,3.193111471854626e-17,0.1095188914266864,0.0851633164518083,0.0811827804170267,0.3623413502159998,0.0,COMPLETE,random_seed404
6,0.09600997535011,1.0482675699829864,3.27278070713186,1.096932756540959,0.9587303198520802,0.0350842777156068,0.1293119606017632,0.0618297779827696,0.0876711328298512,3.193111471854626e-17,0.1048161316324702,0.0930737261921579,0.0771850346482907,0.4706235175454817,0.0,COMPLETE,random_seed404
7,0.1001621660822354,0.9320241592461443,2.7594089558856933,0.9591716204229718,0.9709017320550786,0.0415882341659723,0.1286575556877622,0.0725543042814435,0.0932750746103995,3.193111471854626e-17,0.1093964786526143,0.1031847352941908,0.084016846869551,0.4036329803171106,0.0,COMPLETE,random_seed404
8,0.1038273240750283,0.9019643093077944,3.18656782863843,0.9303062199023592,1.063826450808968,0.0415792121737183,0.12865688922454,0.0725663675869751,0.0933895913271717,3.193111471854626e-17,0.1073420546540471,0.1003940316648177,0.0832440314837607,0.514582314781692,0.0,COMPLETE,random_seed404
9,0.0967074334355602,1.0163089034884556,3.3470064438520546,0.9458625226870266,1.0402864710253628,0.0415882341659723,0.1286575556877622,0.0725543042814435,0.0932750746103995,3.193111471854626e-17,0.1046586968212748,0.0980814693885132,0.0823220748211483,0.3596339653602977,0.0,COMPLETE,random_seed404
