domain,domain_label,metric,role,unit,n,observed_mean,simulated_mean,mae,rmse,nrmse_percent,mape_percent,relative_bias_percent
city_modal,Tehran modal shares,modal_share_other,endogenous historical reconstruction,share,9,0.036194669222222225,0.04247408220552554,0.006279412983303322,0.006376599357384148,17.617509689711834,18.692188342176095,17.348999502523395
r12_modal,R12 modal shares,modal_share_car_r12,endogenous historical reconstruction,share,9,0.21633333333333332,0.20126472195560013,0.015068611377733208,0.018045740002621585,8.34163636484819,6.541943590994734,-6.965459804807338
r12_modal,R12 modal shares,modal_share_tax_r12,endogenous historical reconstruction,share,9,0.17266666666666666,0.1662871273814772,0.006625812046150327,0.010418517436003721,6.033890406951963,3.5692681007791216,-3.6947138717313477
r12_modal,R12 modal shares,modal_share_bus_r12,endogenous historical reconstruction,share,9,0.185,0.20009426201827088,0.026130907915728228,0.033024142089413726,17.85088761589931,17.904989244039125,8.159060550416696
r12_modal,R12 modal shares,modal_share_met_r12,endogenous historical reconstruction,share,9,0.1701111111111111,0.17994361396412986,0.010187457141236533,0.011672584678901888,6.861741483351861,6.116125154785839,5.780047398900627
r12_modal,R12 modal shares,modal_share_mot_r12,endogenous historical reconstruction,share,9,0.202,0.19249927466302982,0.013041298532481618,0.015899024553367388,7.87080423434029,6.3094449848585255,-4.703329374737709
r12_modal,R12 modal shares,modal_share_oth_r12,endogenous historical reconstruction,share,9,0.05388888888888889,0.05991100001749196,0.0060221111286030676,0.00652652357208652,12.111074669851273,11.652718799124576,11.175051578851052
operational_shares,Operational shares,brt_share_of_bus,historical-series anchor,Fraction,9,0.5055555555555555,0.5055555555555555,0.0,0.0,0.0,0.0,0.0
annual_distance,Annual vehicle distance,annual_km_car,derived historical reconstruction,km/vehicle/year,9,12000.0,11988.228662997066,1481.0488534706096,1833.8785320992774,15.28232110082731,12.342073778921746,-0.09809447502445806
annual_distance,Annual vehicle distance,annual_km_taxi,derived historical reconstruction,km/vehicle/year,9,60000.0,56602.1069725847,5017.076463616947,5857.246445168632,9.762077408614386,8.361794106028245,-5.663155045692176
annual_distance,Annual vehicle distance,annual_km_motorcycle,derived historical reconstruction,km/vehicle/year,9,16000.0,16431.60336473673,1812.3288153253616,2248.9468818308774,14.055918011442984,11.327055095783509,2.69752102960454
